task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
load_data,2024-05-28T14:00:00,assignment2_logistic_regression,de18d923-7b45-45f7-aee0-48f6a7d632e5,0.804750919342041,8.22630055070401e-06,1.019715854245521e-05,62.5,0.0,141.20075225830078,1.4002761907047696e-05,0,3.159302427118291e-05,4.55957861782306e-05,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
vectorizer,2024-05-28T14:00:00,assignment2_logistic_regression,de18d923-7b45-45f7-aee0-48f6a7d632e5,0.001112222671508789,9.571458362175506e-09,7.9026783650209e-06,62.5,0.0,141.20075225830078,1.9470850626626836e-08,0,3.3580720514689755e-08,5.305157114131998e-08,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
fitting,2024-05-28T14:00:15,assignment2_logistic_regression,de18d923-7b45-45f7-aee0-48f6a7d632e5,14.777583360671997,0.00015082830138389163,1.020810536681506e-05,62.5,0.0,141.20075225830078,0.0002565128645963139,0,0.0005794807800726859,0.0008359936446689998,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
predictions,2024-05-28T14:00:15,assignment2_logistic_regression,de18d923-7b45-45f7-aee0-48f6a7d632e5,0.0024290084838867188,1.7536931120248683e-08,7.919382035463343e-06,62.5,0.0,141.20075225830078,3.640850385029171e-08,0,6.079316738124424e-08,9.720167123159016e-08,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
confusion_matrix,2024-05-28T14:00:15,assignment2_logistic_regression,de18d923-7b45-45f7-aee0-48f6a7d632e5,0.19078302383422852,1.9384457404592666e-06,1.0175809044089411e-05,62.5,0.0,141.20075225830078,3.3030658960342537e-06,0,7.441126703702176e-06,1.074419259973643e-05,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
classification_report,2024-05-28T14:00:15,assignment2_logistic_regression,de18d923-7b45-45f7-aee0-48f6a7d632e5,0.046150922775268555,4.6732064058860497e-07,1.0102748922007825e-05,62.5,0.0,141.20075225830078,8.000805974006805e-07,0,1.7901301387155538e-06,2.59021073611618e-06,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
cross_validation,2024-05-28T14:00:39,assignment2_logistic_regression,de18d923-7b45-45f7-aee0-48f6a7d632e5,23.95440649986267,0.00024452864191494924,1.0208460832644105e-05,62.5,0.0,141.20075225830078,0.00041585757086674374,0,0.0009394874718393566,0.0013553450427061004,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
save_model,2024-05-28T14:00:39,assignment2_logistic_regression,de18d923-7b45-45f7-aee0-48f6a7d632e5,0.003199338912963867,2.908591876100682e-08,9.052774221057135e-06,62.5,0.0,141.20075225830078,5.3851140869990745e-08,0,1.0736292181266933e-07,1.6121406268233482e-07,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
