task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
args,2024-05-28T14:06:02,assignment3,a698fc16-b0a9-4f72-ac28-99041ac6ffba,0.0040624141693115234,4.7022647250996694e-08,8.680013971280892e-06,62.5,0.0,141.20075225830078,8.957667483223809e-08,0,1.7105500965044486e-07,2.6063168448268294e-07,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
Load_model,2024-05-28T14:06:20,assignment3,a698fc16-b0a9-4f72-ac28-99041ac6ffba,18.90007781982422,0.00019291469451267066,1.0208152964621492e-05,62.5,0.0,141.20075225830078,0.0003280886717968517,0,0.0007411765595695897,0.0010692652313664414,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
load_data,2024-05-28T14:06:21,assignment3,a698fc16-b0a9-4f72-ac28-99041ac6ffba,0.8621132373809814,8.794802878007876e-06,1.0203021925454022e-05,62.5,0.0,141.20075225830078,1.4963067240185207e-05,0,3.3783747811571684e-05,4.874681505175689e-05,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
most_similar,2024-05-28T14:06:22,assignment3,a698fc16-b0a9-4f72-ac28-99041ac6ffba,0.8194546699523926,7.522323409614424e-06,1.0198129276299397e-05,62.5,0.0,141.20075225830078,1.2801604138480292e-05,0,2.88922590548509e-05,4.169386319333125e-05,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
search_songs,2024-05-28T14:06:22,assignment3,a698fc16-b0a9-4f72-ac28-99041ac6ffba,0.012817859649658203,1.3810353670541805e-07,9.821761672844577e-06,62.5,0.0,141.20075225830078,2.4091866281296e-07,0,5.245456295824335e-07,7.654642923955561e-07,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
song_counter,2024-05-28T14:06:22,assignment3,a698fc16-b0a9-4f72-ac28-99041ac6ffba,0.012427806854248047,1.2082277395060654e-07,9.809288143550866e-06,62.5,0.0,141.20075225830078,2.1123223834570298e-07,0,4.584502431725533e-07,6.696824815183647e-07,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
results,2024-05-28T14:06:22,assignment3,a698fc16-b0a9-4f72-ac28-99041ac6ffba,0.0018777847290039062,1.045421139624558e-08,7.1530408933309e-06,62.5,0.0,141.20075225830078,2.2773941357908094e-08,0,3.517045108760667e-08,5.7944392445677395e-08,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
