task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
load_model,2024-05-28T14:07:00,assignment4_data,1322ea65-b945-417d-8dc7-a46920182285,8.013254642486572,7.379126804375765e-05,9.205472010105307e-06,42.5,0.0,141.20075225830078,9.463511258363724e-05,0,0.00031436658372026614,0.0004090016963039034,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
load_data,2024-05-28T14:07:00,assignment4_data,1322ea65-b945-417d-8dc7-a46920182285,0.11092233657836914,1.0034076892863325e-06,9.126109993937942e-06,42.5,0.0,141.20075225830078,1.295043693648438e-06,0,4.266528263065076e-06,5.5615719567135005e-06,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
generate_labels,2024-05-28T16:18:10,assignment4_data,1322ea65-b945-417d-8dc7-a46920182285,7870.127929210663,0.0724552730559065,9.20636651626931e-06,42.5,0.0,141.20075225830078,0.09291121888028252,0,0.30868547909833655,0.4015966979786191,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
simple_data,2024-05-28T16:18:10,assignment4_data,1322ea65-b945-417d-8dc7-a46920182285,0.007104396820068359,4.983611594233661e-08,8.132745328822902e-06,42.5,0.0,141.20075225830078,6.962633794516115e-08,0,2.0659951499579776e-07,2.762258529687145e-07,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
save_data,2024-05-28T16:18:10,assignment4_data,1322ea65-b945-417d-8dc7-a46920182285,0.0423433780670166,3.938481171472663e-07,9.114839010027079e-06,42.5,0.0,141.20075225830078,5.089052849405196e-07,0,1.6740704555373576e-06,2.1829757404501215e-06,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
